id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height,source
1210,CleoSteel - Pipă de tavan,"Ceiling-mounted water spout 1/2'', 1600 mm long.

Observații: in combinatie neaparata cu urmatoarele produse: 48.5105.0, 48.5010.9",sanitare,BATERII,CleoSteel 48,False,DE TAVAN,Fir Italia,,,,,,Stainless Steel AISI 316L,,,,1600 mm,,,fir italia
1300,Petra - Vas de toaletă cu picior,,sanitare,VASE DE TOALETA,Petra,False,CU PICIOR,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1301,Petra - Vas de toaletă suspendat,,sanitare,VASE DE TOALETA,Petra,False,SUSPENDATE,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1302,Petra - Bideu cu picior,,sanitare,BIDEURI,Petra,False,CU PICIOR,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1303,Petra - Bideu suspendat,,sanitare,BIDEURI,Petra,False,SUSPENDATE,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1304,Petra - COLUMN I,,sanitare,LAVOARE,Petra,False,DE BLAT,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1305,Petra - 42,,sanitare,LAVOARE,Petra,False,DE BLAT,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1306,Petra - 60,,sanitare,LAVOARE,Petra,False,DE BLAT,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1307,Petra - 80,,sanitare,LAVOARE,Petra,False,DE BLAT,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1308,Petra - COLUMN II,,sanitare,LAVOARE,Petra,False,FREESTANDING,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1309,Petra - Cadă freestanding 150,,sanitare,CAZI,Petra,False,FREESTANDING,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1310,Cruise - Vas de toaletă cu picior,"Cruise rimless floor-mounted toilet with Smart Clean flush system.

Toilet seat, fixings and technical curve not included.",sanitare,VASE DE TOALETA,Cruise,False,CU PICIOR,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1311,Cruise - Vas de toaletă suspendat,"Cruise rimless wall-hung toilet with Smart Clean drainage system.

Seat cover and fixings not included.",sanitare,VASE DE TOALETA,Cruise,False,SUSPENDATE,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1312,Cruise - Bideu cu picior,"Cruise floor-mounted bidet with one hole (no hole, three holes available upon request)",sanitare,BIDEURI,Cruise,False,CU PICIOR,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1313,Cruise - Bideu suspendat,Bidet wall-hung one hole (no hole on request). Fixing kit not included.,sanitare,BIDEURI,Cruise,False,SUSPENDATE,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1314,Cruise - Round 45,Cruise round Washbasin cm Ø45 thin edge.,sanitare,LAVOARE,Cruise,False,DE BLAT,GSG,,,,,,Ceramica,,,45 mm,,,,gsg sanitare
1315,Cruise - SQUARE 45,Square Washbasin cm 45 thin edge.,sanitare,LAVOARE,Cruise,False,DE BLAT,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1316,Cruise - OVAL 65,Cruise oval Washbasin cm 65 thin edge.,sanitare,LAVOARE,Cruise,False,DE BLAT,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1317,Cruise - OVAL 80,Cruise oval free standing washbasin cm 80,sanitare,LAVOARE,Cruise,False,DE BLAT,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1318,Cruise - Cadă freestanding 172,"Wall or freestanding acrylic bathtub with overflow, 172 x 83 cm.

Complete with drain and waste.",sanitare,CAZI,Cruise,False,FREESTANDING,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1319,Like - Vas de toaletă cu picior,Wc back to wall CM. 55 rimless with Smart Clean flushing system wall drain suitable for floor drain with technical elbow (see code ACS100 or acs102 or ACS103). Seat Cover fixing kit and technical elbow not included.,sanitare,VASE DE TOALETA,Like,False,CU PICIOR,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1320,Like - Vas de toaletă suspendat,Wc wall-hung rimless with Eco Clean flushing system. Seat Cover and fixing kit not included.,sanitare,VASE DE TOALETA,Like,False,SUSPENDATE,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1321,Like - Bideu cu picior,"Bidet back to wall one hole (no hole, three holes on request).",sanitare,BIDEURI,Like,False,CU PICIOR,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1322,Like - Bideu suspendat,Bidet wall-hung one hole (no hole on request). Fixing kit not included.,sanitare,BIDEURI,Like,False,SUSPENDATE,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1323,Like - 45,"Like Washbasin cm 45 one hole (no hole, three holes on request). Fixing kit included (see code ACS60).",sanitare,LAVOARE,Like,False,DE BLAT,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1324,Like - 60,"Like Washbasin cm 60 one hole (no hole, three holes on request). Fixing kit included (see code ACS60).",sanitare,LAVOARE,Like,False,DE BLAT,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1325,Like I - Cadă freestanding 170,Buthtub free standing or back to wall in acrylic with overflow,sanitare,CAZI,Like,False,FREESTANDING,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1326,Like II - Cadă freestanding 170,Buthtub free standing or back to wall in acrylic with overflow,sanitare,CAZI,Like,False,FREESTANDING,GSG,,,,,,Ceramica,,,,,,,gsg sanitare
1400,OSO,"The armchair within the OSO collection beckons to us with a captivating allure. Its inviting embrace tempts us to sink in and linger—just to remain, indefinitely. Rarely does such voluminous presence exude such an airy comfort. The expansive seat, adorned with premium straps and eco-friendly upholstery, ensnares us in its embrace, refusing to release its hold. Meanwhile, the generous backrest envelops us like the comforting embrace of a dear friend. Its seemingly weightless design provides both stability and liberation, granting us the perfece balance of support and freedom.",mobilier,INTERIOR,Peter Fehrentz,False,FOTOLII,More,,"Leather Lugano / 2204, Linara / 98 / truffle, Leather Lugano / 0509, Linara / 192 / chinchilla, Leather Lugano / 2594, Linara / 197 / gris, Leather Orta / 3654, Linara / 210 / feathergrey, Leather Orta / 2159, Rami / 6810, leather Orta / 2491, Clunis / 05, Leather Orta / 1431, Gent / 02",,,,,,,,,,,more mobilier
1401,SOVA I,"This is probably the most comfortable thing that can happen to oiled walnut. A lounge chair called SOVA – its name speaks volumes.

UPHOLSTERY: Cushions with an ecological upholstery (kapok). UPHOLSTERY: FRAME: Frame made of solid wood (walnut) and belting made from flax fibres. FRAME: OPTIONS: Different types of fabrics and leathers available for the cover. OPTIONS:",mobilier,INTERIOR,Bernhard Müller,False,FOTOLII,More,,"Leather Lugano / 2204, Linara / 98 / truffle, Leather Lugano / 0509, Linara / 192 / chinchilla, Leather Lugano / 2594, Linara / 197 / gris, Leather Orta / 3654, Linara / 210 / feathergrey, Leather Orta / 2159, Rami / 6810, leather Orta / 2491, Clunis / 05, Leather Orta / 1431, Gent / 02",,,,,,,,,,,more mobilier
1402,SOVA II,"The Chaise Longue is our third member of our SOVA collection and closes the gap between SOVA armchair and SOVA bed in the most comfortable way.

The typical, organic-curved and solid walnut frame ensures a maximum stylish nap. The inner values are also impressive. For example, the upholstery is made of natural, breathable kapok fibres.

UPHOLSTERY: Cushions with an ecological upholstery (kapok). UPHOLSTERY: FRAME: Frame made of solid wood (walnut) and belting made from flax fibres. FRAME: OPTIONS: Different types of fabrics and leathers available for the cover. OPTIONS:",mobilier,INTERIOR,Bernhard Müller,False,FOTOLII,More,,"Leather Lugano / 2204, Linara / 98 / truffle, Leather Lugano / 0509, Linara / 192 / chinchilla, Leather Lugano / 2594, Linara / 197 / gris, Leather Orta / 3654, Linara / 210 / feathergrey, Leather Orta / 2159, Rami / 6810, leather Orta / 2491, Clunis / 05, Leather Orta / 1431, Gent / 02",,,,,,,,,,,more mobilier
1403,ONDA,"ONDA dining sofa is neither a bench nor a sofa. Rather, it is a celebration of shared life at the table—of communicative comfort, a sense of lightness, and a deliberately reduced formal language. The continuous backrest is slightly recessed and does not align flush with the seat. This creates an intriguing geometry from every perspective, allowing the piece to be freely positioned within a space.",mobilier,INTERIOR,Bernhard Müller,False,BANCHETE,More,,"Leather Lugano / 2204, Linara / 98 / truffle, Leather Lugano / 0509, Linara / 192 / chinchilla, Leather Lugano / 2594, Linara / 197 / gris, Leather Orta / 3654, Linara / 210 / feathergrey, Leather Orta / 2159, Rami / 6810, leather Orta / 2491, Clunis / 05, Leather Orta / 1431, Gent / 02",,,,,,,,,,,more mobilier
1404,LAX,"Thinking, dreaming, floating. With a width of 75 cm, LAX becomes a daybed. Calm proportions, clear lines, and a light appearance define its character. For moments of rest, for reading, or for a short pause. Reduced to what matters.",mobilier,INTERIOR,Gil Coste,False,BANCHETE,More,,"steel / brushed - anthracite, Leather Lugano / 2204, Linara / 98 / truffle, steel / brushed - tobacco-brown, Leather Lugano / 0509, Linara / 192 / chinchilla, Leather Lugano / 2594, Linara / 197 / gris, Leather Orta / 3654, Linara / 210 / feathergrey, Leather Orta / 2159, Rami / 6810, leather Orta / 2491, Clunis / 05, Leather Orta / 1431, Gent / 02",,,,,,,,,,,more mobilier
1405,LUZ,"Our LUZ chair brings the charm of a 1960s hotel lounge into your living room. Its sweeping, rounded seat shell and backrest are made of wood, harvested naturally from sustainable forests. The luxurious upholstery has an ecofriendly mixture of new wool and a cold foam made from castor oil.",mobilier,INTERIOR,Bernhard Müller & Çağdaş Sarıkaya,False,SCAUNE,More,,"Natural walnut, Leather Lugano / 2204, Flash / 9843 / steel, Oak Black, Leather Lugano / 0509, Loop / 02 / graphite, Leather Lugano / 2594, Loop / 01 / carbon grey, Leather Orta / 3654, Loop / 36 / olive, Leather Orta / 2159, Jette / 17, leather Orta / 2491, Rami / 6972, Leather Orta / 1431, Rami / 3072",,,,,,,,,,,more mobilier
1406,YAN,"The name YAN means “side” in Turkish, and makes referen-ce to the fact that the combination of symmetry and asymmetry in the lines is particularly noticeable when viewed from the side. Together with the natural upholstery, the exciting design offers comfortable, stylish seating. A design that harmoniously complements the AVAR table, but also cuts a fine figure on its own.",mobilier,INTERIOR,Çağdaş Sarıkaya,False,SCAUNE,More,,"Leather Lugano / 2204, Flash / 9843 / steel, Leather Lugano / 0509, Loop / 02 / graphite, Leather Lugano / 2594, Loop / 01 / carbon grey, Leather Orta / 3654, Loop / 36 / olive, Leather Orta / 2159, Jette / 17, leather Orta / 2491, Rami / 6972, Leather Orta / 1431, Rami / 3072",,,,,,,,,,,more mobilier
1407,OSO,Few elements for a lot of comfort. The backrest and armrests of the OSO chair form a lavishly upholstered and particularly comfortable unit. The filigree tubular frame with its striking radii is reminiscent of Bauhaus designs from the 1930s.,mobilier,INTERIOR,Peter Fehrentz,False,SCAUNE,More,,"Leather Lugano / 2204, Flash / 9843 / steel, Leather Lugano / 0509, Loop / 02 / graphite, Leather Lugano / 2594, Loop / 01 / carbon grey, Leather Orta / 3654, Loop / 36 / olive, Leather Orta / 2159, Jette / 17, leather Orta / 2491, Rami / 6972, Leather Orta / 1431, Rami / 3072",,,,,,,,,,,more mobilier
1408,OSO,"OSO is a table like a bear. Strong, calm and yet surprisingly agile. The legs are sturdy, like a triangle with rounded corners and outwardly curved sides. The tabletop stretches out above it and, despite its strength, has a particularly delicate appearance, also rounded outwards.",mobilier,INTERIOR,Peter Fehrentz,False,MESE,More,,"Oak Light, Oak Sand, Oak Taupe, Oak Basalt, Oak Graphit, Smoked Oak",,,,,,,,,,,more mobilier
1409,CUT I,CUT is nothing less than the idea of architecture in the form of a table. The harmonious interweaving of generous surfaces executed with low material thicknesses combines stability with lightness resulting in an inspiring place for creativity or for shared indulgence. CUT is as much at home in the refectory of a Buddhist monastery as it is in an artist’s studio or in your living room.,mobilier,INTERIOR,Peter Fehrentz,False,MESE,More,,"Oak Light, Oak Sand, Oak Taupe, Oak Basalt, Oak Graphit, Smoked Oak",,,,,,,,,,,more mobilier
1410,EEVA,"In a world where everything seems to get more and more complicated, we need a table that can be made as simple as possible and as big as possible. That‘s the idea behind EEVA. From the outside it looks like an object. Inside, and therefore invisible, it is equipped with extension leaves. Sophisticated, robust, made of solid wood. Also available as a large conference table.",mobilier,INTERIOR,Bernhard Müller & Çağdaş Sarıkaya,False,MESE,More,,"Oak Light, Oak Sand, Oak Taupe, Oak Basalt, Oak Graphit, Smoked Oak",,,,,,,,,,,more mobilier
1411,NIL,"Traditional lightness, an organic shape and absolute sturdiness make this table NIL an expressive table. Even in expansive interior spaces, it serves as a solid anchor piece. The organically curved NIL is delicate, yet strong.

TABLETOP: Solid wood, top thickness: 3 cm TABLETOP: FRAME: Solid wood FRAME: OPTIONS: Available in different wood types. Surfaces oiled and waxed or matt varnished. OPTIONS:",mobilier,INTERIOR,Gil Coste,False,MESE,More,,"Oak Light, Oak Sand, Oak Taupe, Oak Basalt, Oak Graphit, Smoked Oak",,,,,,,,,,,more mobilier
1412,CUT II,"CUT is nothing less than the idea of architecture in the form of a table. The harmonious interweaving of generous surfaces executed with low material thicknesses combines stability with lightness resulting in an inspiring place for creativity or for shared indulgence. CUT is as much at home in the refectory of a Buddhist monastery as it is in an artist’s studio or in your living room.

Tabletop: Made from glued and laminated solid wood. Top thickness: 2,8 cm. Table edges run down to 0.8 cm. Tabletop: Frame: Solid wood Frame: Options: Available in different wood types. Surfaces oiled and waxed or matt varnished. Options:",mobilier,INTERIOR,Peter Fehrentz,False,MESE,More,,"Oak Light, Oak Sand, Oak Taupe, Oak Basalt, Oak Graphit, Smoked Oak",,,,,,,,,,,more mobilier
1413,CUT III,"Particularly striking as a side table: the basic principle of CUT – with its legs reminiscent of a sailing yacht’s rudder.

TABLETOP: Solid wood, top thickness: 2,8cm TABLETOP: FRAME: Solid wood FRAME: OPTIONS: Available in different wood types. Surfaces oiled and waxed or matt varnished. OPTIONS:",mobilier,INTERIOR,Peter Fehrentz,False,MĂSUȚE DE CAFEA,More,,"Oak Light, Oak Sand, Oak Taupe, Oak Basalt, Oak Graphit, Smoked Oak",,,,,,,,,,,more mobilier
1414,SOVA,"With our SOVA bed, we’re deliberately not showing off our best side, because every side should look good, and its elegance shows when standing free in a room. With its opulent, leather-covered cushion, you can lie in a haven of tranquility for hours, even when reading.",mobilier,INTERIOR,Bernhard Müller,False,PATURI,More,,"Oak Light, Leather Lugano / 2204, Flash / 9843 / steel, Oak Sand, Leather Lugano / 0509, Loop / 02 / graphite, Oak Taupe, Leather Lugano / 2594, Loop / 01 / carbon grey, Oak Basalt, Leather Orta / 3654, Loop / 36 / olive, Oak Graphit, Leather Orta / 2159, Jette / 17, Smoked Oak, leather Orta / 2491, Rami / 6972, Natural walnut, Leather Orta / 1431, Rami / 3072",,,,,,,,,,,more mobilier
1415,NOVA,"What does a bed that shouldn't look like a bed actually look like? NOVA is reduced in design, thereby achieving maximum comfort and flexibility. Between the aluminum frame and a continuous profile, the head sections can be inserted as required. This way, NOVA can become a sofa.",mobilier,INTERIOR,Bernhard Müller,False,PATURI,More,,"steel / anthracite, Leather Lugano / 2204, Flash / 9843 / steel, Aluminium anodised, Leather Lugano / 0509, Loop / 02 / graphite, Leather Lugano / 2594, Loop / 01 / carbon grey, Leather Orta / 3654, Loop / 36 / olive, Leather Orta / 2159, Jette / 17, leather Orta / 2491, Rami / 6972, Leather Orta / 1431, Rami / 3072",,,,,,,,,,,more mobilier
1500,Amalfi - Fotoliu,"Linee sinuose e volumi aperti dialogano con la luce che filtra attraverso l’intreccio in corda. Il telaio, rigorosamente pensato e sviluppato in alluminio, garantisce robustezza e maneggevolezza .

L’intreccio in speciale corda olefin (o polipropilene per la versione Pearl White) assicura le massime performance per l’utilizzo outdoor . Grazie all’elevatissima resistenza agli agenti atmosferici e allo scolorimento generato dai raggi uv, questi materiali rendono il prodotto estremamente pratico poiché quasi del tutto esente da necessità particolari di manutenzione.",mobilier,EXTERIOR,Amalfi,False,FOTOLII,Rosa Splendiani,,,,,,,,,,,,,rosa splendiani mobilier
1501,Dakota - Fotoliu,"La Poltrona della serie Dakota è realizzata con struttura in teak massiccio e intreccio manuale in corda Olefin/Polipropilene di alta qualità (disponibile di serie in due finiture: Pearl White e Desert Mix ). Il telaio dello schienale è in alluminio verniciato a polvere epossidica.

The refined and essential line, the very high quality of the materials , the perfect balance between design and tradition, make the armchair Dakota suitable to furnish both indoor and outdoor spaces.",mobilier,EXTERIOR,Dakota,False,FOTOLII,Rosa Splendiani,,,,,,,,,,,,,rosa splendiani mobilier
1502,Gilda - Fotoliu,"It is characterised by its visible white lacquered aluminium frame and its manual weaving in fabric rope Olefin. The materials it is made of make it perfect for outdoor use .

Thanks to the selection and high quality of the materials used, it has a high resistance to atmospheric agents (UV rays, rain, saltiness): it does not rust and does not discolour .",mobilier,EXTERIOR,Gilda,False,FOTOLII,Rosa Splendiani,,,,,,,,,,,,,rosa splendiani mobilier
1503,Zante - Fotoliu,"The armchair Zante is made with a solid teak frame with a natural finish. The backrest and seat are hand woven using a special polyrattan rope branded Viro of the highest quality (available as standard in Off White finish ) .

Thanks to the selection of materials and their quality, this outdoor relaxation armchair is able to withstand the elements , requiring very little maintenance.",mobilier,EXTERIOR,Zante,False,FOTOLII,Rosa Splendiani,,,,,,,,,,,,,rosa splendiani mobilier
1504,Amalfi - Canapea,"Linee sinuose e volumi aperti dialogano con la luce che filtra attraverso l’intreccio in corda. Il telaio, rigorosamente pensato e sviluppato in alluminio, garantisce robustezza e maneggevolezza .

L’intreccio in speciale corda olefin (o polipropilene per la versione Pearl White) assicura le massime performance per l’utilizzo outdoor . Grazie all’elevatissima resistenza agli agenti atmosferici e allo scolorimento generato dai raggi uv, questi materiali rendono il prodotto estremamente pratico poiché quasi del tutto esente da necessità particolari di manutenzione.",mobilier,EXTERIOR,Amalfi,False,CANAPELE,Rosa Splendiani,,,,,,,,,,,,,rosa splendiani mobilier
1505,Dakota - Canapea,"Il Divano della serie Dakota è realizzato con struttura in teak massiccio e intreccio manuale in speciale corda olefin/polipropilene di alta qualità (disponibile di serie in due finiture: Pearl White e Desert Mix ). Il telaio dello schienale è in alluminio verniciato a polvere epossidica.

The refined and essential line, the very high quality of the materials , the perfect balance between design and tradition, make the sofa Dakota suitable to furnish both indoor and outdoor spaces.",mobilier,EXTERIOR,Dakota,False,CANAPELE,Rosa Splendiani,,,,,,,,,,,,,rosa splendiani mobilier
1506,Gilda - Canapea,"It is characterized by the visible structure in white lacquered aluminium and by the manual weaving in fabri Olefinc rope . The materials with which it is made make it perfect for outdoor use.

Thanks to the selection and high quality of the materials used, it has a high resistance to atmospheric agents (UV rays, rain, saltiness): it does not rust and does not discolour .",mobilier,EXTERIOR,Gilda,False,CANAPELE,Rosa Splendiani,,,,,,,,,,,,,rosa splendiani mobilier
1507,BAHIA - Canapea modulară,"Il sistema modulare Bahia si compone di tre differenti elementi seduta in teak a doga larga, con piede tornito. Tutti sono dotati di base di cuscino seduta .

Ci sono poi un elemento schienale in alluminio verniciato a polvere e intrecciato in corda (olefon / polipropilene) a sezione tonda e un set di cuscini schienale e cuscini ornamentali .",mobilier,EXTERIOR,BAHIA,False,CANAPELE,Rosa Splendiani,,,,,,,,,,,,,rosa splendiani mobilier
1508,Tosca - Canapea modulară,"It is possible to set up the most suitable composition for different space and furnishing requirements . There are six modular elements : a single module, a classic corner module, a large corner module, a double module and a pouff module. In addition, there are pouff-stools in various diameters and heights.

The structure is made of QuickDry technology draining rubber (breathable, prevents the formation of mould and microbes) and MultiTech marine multilayer , of certified quality.",mobilier,EXTERIOR,Tosca,False,CANAPELE,Rosa Splendiani,,,,,,,,,,,,,rosa splendiani mobilier
1509,Amalfi - Scaun,"It is possible to set up the most suitable composition for different space and furnishing requirements . There are six modular elements : a single module, a classic corner module, a large corner module, a double module and a pouff module. In addition, there are pouff-stools in various diameters and heights.

The structure is made of QuickDry technology draining rubber (breathable, prevents the formation of mould and microbes) and MultiTech marine multilayer , of certified quality.",mobilier,EXTERIOR,Amalfi,False,SCAUNE,Rosa Splendiani,,,,,,,,,,,,,rosa splendiani mobilier
1510,Dakota - Scaun,"La Poltroncina da pranzo della serie Dakota è realizzata con struttura in teak massiccio e intreccio manuale in speciale corda Olefin/Polipropilene (nelle finiture Pearl White e Desert Mix ) oppure in polyrattan di altissima qualità (nella finitura Java Brown ). Il telaio dello schienale è in alluminio verniciato a polvere epossidica.

The refined and essential line, the very high quality of the materials , the perfect balance between design and tradition, make the small armchair Dakota suitable to furnish both indoor and outdoor spaces.",mobilier,EXTERIOR,Dakota,False,SCAUNE,Rosa Splendiani,,,,,,,,,,,,,rosa splendiani mobilier
1511,Gilda - Scaun,"It is characterized by the visible structure in white lacquered aluminium and by the manual weaving in fabri Olefinc rope . The materials it is made of make it perfect for outdoor use.

Thanks to the selection and high quality of the materials used, it has a high resistance to atmospheric agents (UV rays, rain, saltiness): it does not rust and does not discolour .",mobilier,EXTERIOR,Gilda,False,SCAUNE,Rosa Splendiani,,,,,,,,,,,,,rosa splendiani mobilier
1512,Lidia - Scaun,"Il telaio, pensato e sviluppato in alluminio, garantisce robustezza e maneggevolezza .

La seduta e lo schienale sono realizzati in corda di poliestere , con un trattamento apposito del filato che offre caratteristiche di resistenza e comfort allo stesso tempo, oltre che praticità di manutenzione e pulizia. Ciò assicura elevate performance per l’utilizzo outdoor .",mobilier,EXTERIOR,Lidia,False,SCAUNE,Rosa Splendiani,,,,,,,,,,,,,rosa splendiani mobilier
1513,Juniper - Masă extensibilă,"The structure and top is handcrafted using real solid teak with a completely natural brushed finish .

The extensible dining table Juniper is perfect to be placed in sheltered outdoor spaces, and can comfortably accommodate up to 12 diners, giving space and life to moments of sociability and conviviality.",mobilier,EXTERIOR,Juniper,False,MESE,Rosa Splendiani,,,,,,,,,,,,,rosa splendiani mobilier
1514,Dakota - Șezlong,"Il lettino della serie Dakota è realizzato con struttura in teak massiccio e intreccio manuale in corda Olefin/Polipropilene di alta qualità (disponibile di serie in due finiture: Pearl White e Desert Mix ) con tessitura incrociata. Il controtelaio interno è in alluminio verniciato a polvere epossidica.

La linea raffinata ed essenziale , l’altissima qualità dei materiali , l’equilibrio perfetto tra design e tradizione, rendono il lettino prendisole Dakota adatto ad arredare sia spazi interni che esterni .",mobilier,EXTERIOR,Dakota,False,Șezlonguri,Rosa Splendiani,,,,,,,,,,,,,rosa splendiani mobilier
1515,Melvin - Șezlong,"The Melvin lounger is made entirely of natural , untreated solid teak wood from sustainable forests and certified legal sources .

Teak is the outdoor wood par excellence , it does not fear the passage of time and the changing of seasons, because thanks to its intrinsic characteristics of hardness, oiliness and resilience , it remains structurally stable and therefore has an extraordinary longevity .",mobilier,EXTERIOR,Melvin,False,Șezlonguri,Rosa Splendiani,,,,,,,,,,,,,rosa splendiani mobilier
1516,Dakota - masuță,"The Dakota series coffee table is made of solid teak in a natural finish.

The refined and essential line, the high quality of the materials , the perfect balance between design and tradition, make the coffee table Dakota suitable to furnish both indoor and outdoor spaces.",mobilier,EXTERIOR,Dakota,False,Masuțe de cafea,Rosa Splendiani,,,,,,,,,,,,,rosa splendiani mobilier
1600,Loop K - Baterie joasă,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Loop K,False,DE BLAT,Sanycces,,,,,,Finishes,,,,,,,sanycces
1601,Loop K - Baterie înaltă,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Loop K,False,DE BLAT,Sanycces,,,,,,Finishes,,,,,,,sanycces
1602,Pool - Baterie joasă,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Pool,False,DE BLAT,Sanycces,,,,,,Finishes,,,,,,,sanycces
1603,Pool - Baterie înaltă,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Pool,False,DE BLAT,Sanycces,,,,,,Finishes,,,,,,,sanycces
1604,Loop K - Baterie încastrată,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Loop K,False,DE PERETE,Sanycces,,,,,,Finishes,,,,,,,sanycces
1605,Pool - Baterie încastrată,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Pool,False,DE PERETE,Sanycces,,,,,,Finishes,,,,,,,sanycces
1606,Loop K - Baterie freestanding,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Loop K,False,FREESTANDING,Sanycces,,,,,,Finishes,,,,,,,sanycces
1607,Pool - Baterie freestanding,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Pool,False,FREESTANDING,Sanycces,,,,,,Finishes,,,,,,,sanycces
1608,Loop K - Baterie bideu,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Loop K,False,DE BIDEU,Sanycces,,,,,,Finishes,,,,,,,sanycces
1609,Pool - Baterie bideu,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Pool,False,DE BIDEU,Sanycces,,,,,,Finishes,,,,,,,sanycces
1610,Loop K - Baterie wc,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Pool,False,DE BIDEU,Sanycces,,,,,,Finishes,,,,,,,sanycces
1611,Loop K - Sistem de duș cu coloană aparenă,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Loop K,False,DUS,Sanycces,,,,,,Finishes,,,,,,,sanycces
1612,Pool - Sistem de duș cu coloană aparenă,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Pool,False,DUS,Sanycces,,,,,,Finishes,,,,,,,sanycces
1613,Loop K - Sistem de duș încastrat,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Loop K,False,DUS,Sanycces,,,,,,Finishes,,,,,,,sanycces
1614,Pool - Sistem de duș încastrat,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Pool,False,DUS,Sanycces,,,,,,Finishes,,,,,,,sanycces
1615,Pool - Baterie freestanding cu duș,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Pool,False,CADA,Sanycces,,,,,,Finishes,,,,,,,sanycces
1616,Loop - Baterie freestanding cu duș,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Loop K,False,CADA,Sanycces,,,,,,Finishes,,,,,,,sanycces
1617,Pool - Set baterie de cadă,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Pool,False,CADA,Sanycces,,,,,,Finishes,,,,,,,sanycces
